Unnamed: 0,Floor No,Covered Area,Carpet Area,Sqft Price,Total Amenities,AreaName,Floors,Price_Millions,Possession Status,Flooring Type,Society,Furnished Type,Facing,Transaction Type,Type of Property,City,Bathroom,Parking,Bedroom,Balconies,Ownership Type
0,5,635,375,4960,90,Kalyan West,14,3.1496,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
1,20,579,579,10880,90,Kalyan West,34,6.29952,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
2,18,850,585,6352,90,Kalyan West,18,5.3992,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,0,Freehold
3,5,1050,815,8571,90,Kalyan West,27,8.99955,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
4,8,561,419,8824,89,Kalyan West,26,4.950264,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
5,16,1067,667,6157,90,Kalyan West,18,6.569519,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
6,1,725,550,7586,90,Kalyan West,7,5.49985,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
7,4,650,585,6462,90,Kalyan West,8,4.2003,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
8,16,592,370,5826,90,Kalyan West,22,3.448992,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
9,5,644,430,7764,16,Kalyan West,7,5.000016,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,1,1,1,1,Freehold
10,10,550,370,5436,90,Kalyan West,30,2.9898,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
11,10,850,570,7618,90,Kalyan West,30,6.4753,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
12,9,595,454,8235,89,Kalyan West,19,4.899825,Ready to Move,Vitrified,N,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Co-operative Society
13,2,595,450,3676,7,Kalyan West,3,2.18722,Ready to Move,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
14,16,695,462,6763,89,Kalyan West,18,4.700285,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
15,9,1211,980,10450000,90,Kalyan West,26,10.45,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,3,3,Freehold
16,18,1350,927,8889,90,Kalyan West,36,12.00015,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,3,1,3,3,Power Of Attorney
17,9,960,650,7608,89,Kalyan West,23,7.30368,Under Construction,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
